name,player_id,old_elo,old_mu,old_sigma,recalc_elo,recalc_mu,recalc_sigma
Razor,1,1755,27.218174986676377,5.474833186333662,1755,27.558491128096552,4.907613351582961
JamesUK,2,1938,31.758486623174587,1.676237996769777,1925,31.795813258833306,1.665239211128777
Dire,3,1922,31.367067124319234,2.8230316343190784,1915,31.568543805070462,2.8106544960702524
Morka,4,1902,30.878015169847153,1.127331670863098,1883,30.752225279315766,1.1210723657039028
ick312,5,1374,17.720172221043008,1.1852597712402089,1367,17.874881243335853,1.1792811451047014
patrician,6,1068,10.09264407123352,2.6443744526501667,1058,10.156514185872172,2.6124893444535955
runzombie,7,1383,17.940782981563157,1.2874249249765573,1373,18.027786564429526,1.2818957284650192
ChickyLegs,8,1097,10.814097182408613,1.3553844368647192,1090,10.959307705422619,1.3466633397122567
Area213,9,1491,20.640094202014375,1.1843976175370852,1476,20.5963045786786,1.1782887658045265
PinkPredator,11,1539,21.817290717680066,1.4266661880859726,1525,21.81848962208913,1.4232516030347178
Gobbo Slayer,12,1853,29.645039178862024,1.1679759686909714,1836,29.57856495767096,1.160695323925932
Stormtrout,13,1926,31.4635206958309,1.1898046420275685,1910,31.434503561331365,1.1865415021079377
holoween,14,1872,30.12797462263411,1.5715598386283678,1868,30.387208723697526,1.4357296866483396
StuMcGoo,15,1655,24.72505615911132,1.5562579110128913,1638,24.634211971375024,1.5494006531577087
HeinzGoodaryan,16,2000,33.30239493723707,4.12071389242973,2000,33.666892943056745,2.301110071684597
Fantik,17,1514,21.200143504077385,3.205881996322028,1501,21.229916518527148,3.1036791020674137
GuanYu,18,1550,22.089662138418003,1.2232084191042194,1537,22.113674840900153,1.2173018868343835
whiskeypatt,19,1840,29.321168448730358,1.3549587084212424,1825,29.307100133580576,1.3525000483418452
Snake,20,1090,10.647824894363879,1.6414967975950772,1079,10.681652399623482,1.6272187895815546
Thor,21,1512,21.148691041863447,1.4705916547025288,1497,21.13136004881784,1.4620189472984617
kais58,22,1144,11.980852812586178,1.618669447084996,1137,12.145500104653392,1.6167100846295657
Snk12Hd,23,1985,32.94368558978288,1.324265591852448,1968,32.87387973951906,1.2456080199054387
sdauz,24,1394,18.207672734953878,4.0556877113315375,1386,18.358625512661536,3.7925633830123826
[HBM] Red Storm,25,1618,23.803058450451076,1.277198660430846,1604,23.80380286131718,1.2695418291426979
flaky,26,1447,19.542969876210623,1.5400786269907227,1434,19.560854615754888,1.5307280726780546
Terrapin,27,1424,18.965874787122022,1.9237063908240393,1419,19.170400186858423,1.907473670835685
Robieman,28,1925,31.441888555982068,1.5673620189737016,1897,31.119445909699156,1.2153462733588198
Mister Maf,31,1473,20.175332334731173,1.8118919012665016,1461,20.228878771938497,1.8040247228895143
Normac,32,1421,18.885951691027483,3.5161994365352447,1399,18.688765103612674,3.486964880652538
Jstek,33,1000,8.382937563968932,4.499498430136415,1118,11.660793926258835,4.407254336805926
Clone,34,1481,20.386474457251953,1.3444442654562028,1465,20.319117147060528,1.3372986738427142
Garry,35,1819,28.814458367877805,1.5489206459555849,1803,28.75073541454473,1.4650352106136153
GORKstar,37,1653,24.668685678721133,1.8074525518974593,1640,24.70019355531932,1.7284365541095799
Glacko,39,1302,15.91206622039987,7.161204353092954,1203,13.79315493152297,4.429579702783224
TheOneHandedMan,41,1850,29.57728739836323,6.6221159924291815,1644,24.785128364677213,3.363766832905635
BrotherGlacius,42,1007,8.562988147338562,3.1545630152871866,1000,8.704363431228554,2.9973372431078333
TommyGeneral,43,1499,20.83024028826919,4.872618969724749,1639,24.66259044341831,3.6259614077771274
The Imperial,48,1288,15.57757902709217,4.916428222479996,1318,16.652752794948093,4.736471769239696
